mode: hami-only
namespace: hami-benchmark-mini
selector: benchmark.hami.io/plan=mini,benchmark.hami.io/mode=hami-only
metrics_endpoint: http://192.168.49.2:31992/metrics
job_count: 5
pod_count: 6
completed_pod_count: 0
average_completion_time_seconds: None
average_runtime_seconds: None
average_queue_delay_seconds: 1.0
average_gpu_utilization_percent: 1.945945945945946
average_gpu_memory_utilization_percent: 4.628884255349099
average_gpu_memory_used_mib: 568.7972972972973
max_gpu_utilization_percent: 10.0
max_gpu_memory_utilization_percent: 4.816182454427084
